famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword_generique,keyword_voiture
"Préchauffage et allumage",683,"Distributeur d'allumage",distributeur-d-allumage,2,0,G3,"distributeur d'allumage","distributeur d'allumage voiture"
"Préchauffage et allumage",685,"Faisceau d'allumage",faisceau-d-allumage,1,0,G2,"faisceau d'allumage","faisceau d'allumage voiture"
"Préchauffage et allumage",1218,"Module d'allumage",module-d-allumage,2,0,G3,"module d'allumage","module d'allumage voiture"
"Direction et liaison au sol",130,"Amortisseur de direction",amortisseur-de-direction,2,0,G3,"amortisseur de direction","amortisseur de direction voiture"
"Direction et liaison au sol",285,"Barre de direction",barre-de-direction,1,0,G2,"barre de direction","barre de direction voiture"
"Direction et liaison au sol",274,"Barre stabilisatrice",barre-stabilisatrice,2,0,G3,"barre stabilisatrice","barre stabilisatrice voiture"
"Direction et liaison au sol",3230,"Biellette de barre stabilisatrice",biellette-de-barre-stabilisatrice,1,0,G2,"biellette de barre stabilisatrice","biellette de barre stabilisatrice voiture"
"Direction et liaison au sol",273,"Bras de suspension",bras-de-suspension,1,1,G1,"bras de suspension","bras de suspension voiture"
"Direction et liaison au sol",1211,"Colonne de direction",colonne-de-direction,1,0,G2,"colonne de direction","colonne de direction voiture"
"Direction et liaison au sol",286,"Crémaillière de direction",cremailliere-de-direction,1,0,G2,"crémaillière de direction","crémaillière de direction voiture"
"Direction et liaison au sol",3252,"Détecteur de l'angle de braquage",detecteur-de-l-angle-de-braquage,2,0,G3,"détecteur de l'angle de braquage","détecteur de l'angle de braquage voiture"
"Direction et liaison au sol",653,"Moyeu de roue",moyeu-de-roue,2,0,G3,"moyeu de roue","moyeu de roue voiture"
"Direction et liaison au sol",12,"Pompe de direction assistée",pompe-de-direction-assistee,1,0,G2,"pompe de direction assistée","pompe de direction assistée voiture"
"Direction et liaison au sol",2066,"Rotule de direction",rotule-de-direction,1,1,G1,"rotule de direction","rotule de direction voiture"
"Direction et liaison au sol",2462,"Rotule de suspension",rotule-de-suspension,1,1,G1,"rotule de suspension","rotule de suspension voiture"
"Direction et liaison au sol",655,"Roulement de roue",roulement-de-roue,1,0,G2,"roulement de roue","roulement de roue voiture"
"Direction et liaison au sol",191,"Soufflet de direction",soufflet-de-direction,1,0,G2,"soufflet de direction","soufflet de direction voiture"
"Amortisseur et suspension",854,"Amortisseur",amortisseur,1,1,G1,"amortisseur","amortisseur voiture"
"Amortisseur et suspension",1182,"Butée élastique d'amortisseur",butee-elastique-d-amortisseur,1,0,G2,"butée élastique d'amortisseur","butée élastique d'amortisseur voiture"
"Amortisseur et suspension",1632,"Kit de butée de suspension",kit-de-butee-de-suspension,1,0,G2,"kit de butée de suspension","kit de butée de suspension voiture"
"Amortisseur et suspension",188,"Ressort de suspension",ressort-de-suspension,1,0,G2,"ressort de suspension","ressort de suspension voiture"
